cluster,avg_spam,x,y,urls,non_alphanumeric_punctuation_coefficient,email_in_name,contains_sexual_word,capital_coefficient,email_length,whitespace_coefficient,contains_currency
0,0.15578947368421053,-0.1252228643633495,-0.5219584457718318,0.0,0.00933355017370027,1.0,0.0,0.03575511822331877,0.0006368008568779508,0.0017635834427699457,1.0
0,0.6890756302521008,0.004021876124243096,-0.47635714357763204,0.0,0.009052776832453866,0.28608030624837333,0.0,0.04938546539762358,0.001084003695595006,0.0015245905731817596,1.0
0,0.012048192771084338,-0.13007178174001421,-0.5302173334666471,0.0,0.008150927187499253,0.9969879518072289,0.0,0.8228138997115584,0.0005499998277622326,0.0011364108366083143,1.0
0,0.8142857142857143,-0.03513258567432259,-0.4905331899174173,0.0,0.009123078139980464,0.500209001524791,0.0,0.0909669311867415,0.0006166495173862014,0.0016175615663979728,1.0
0,1.0,-0.004695166793683314,-0.48198443117133055,0.0,0.008919552579999726,0.31916240325331235,0.0,0.35473365242055555,4.6240068799905244e-05,0.0015929554311703304,1.0
0,0.1360544217687075,-0.12658411201360065,-0.5239556556050178,0.0,0.009120574234275444,1.0,0.0,0.2180676689323376,0.0006744717540706729,0.001860383161518604,1.0
0,0.9019607843137255,-0.09556060181485382,-0.5121378137999624,0.0,0.009122240468028314,0.8338935574229692,0.0,0.11500936122772895,0.0005047317982107541,0.0015361483375755667,1.0
0,1.0,0.026388922431048067,-0.4691928974045305,0.0,0.009093240545290869,0.1592022757117096,0.0,0.14842830040828706,0.0003638704751465616,0.0014461340199587792,1.0
0,0.6,-0.036463588443642614,-0.49480713873675003,0.0,0.008820887483227579,0.4886752136752137,0.0,0.5333189348712077,0.000335048820896005,0.00131528484421681,1.0
0,0.1388888888888889,0.017319099369810798,-0.47884022203538945,0.0,0.009430443916692701,0.18333333333333335,0.0,0.9160528504203648,0.0009018277210082277,0.001934859573312853,1.0
0,0.8928571428571429,-0.06264068445621168,-0.49983519483408373,0.0,0.009168053812753998,0.6570914204842775,0.0,0.03897237851543104,0.0006151733177711704,0.0014760499798662867,1.0
0,0.20869565217391303,-0.03678710979393213,-0.4931198924841925,0.0,0.008729561443413478,0.5013884666058579,0.0,0.3297107504896299,0.00019244317000437723,0.001505622669940899,1.0
0,0.9027777777777778,-0.020639639927084286,-0.48582722770770453,0.0,0.009079379214147396,0.42216602841602835,0.0,0.14184586841768174,0.00034549645348402197,0.0016106319482301916,1.0
0,0.9230769230769231,0.05633041203641154,-0.45769251722176163,0.0,0.008538939364834647,0.0,0.0,0.031040856551896038,0.0008187581665673456,0.001483255833389802,1.0
0,0.12462908011869436,-0.12540707365676784,-0.5222286654154074,0.0,0.009273465320569848,1.0,0.0,0.060146166218603976,0.0006537892016701795,0.001700146381352643,1.0
0,1.0,0.015993302282678035,-0.47476015169249114,0.0,0.008890228285293685,0.20843045843045843,0.0,0.36763142092687706,8.336413919972912e-05,0.0016628524989644002,1.0
0,1.0,-0.051734640603993076,-0.4976433592521333,0.0,0.009039147909000669,0.5863024835247058,0.0,0.23939336665662922,0.0002161549143583398,0.0015425247643294782,1.0
0,0.04411764705882353,-0.12749390573334607,-0.5253832446928295,0.0,0.011562581884968082,0.9981617647058824,0.0,0.3522748384566058,0.000971205336212249,0.004073963469552509,1.0
